id,isFrod,probability
Д\286\012220838,0,0.018586729851338024
Д\286\012249879,0,0.017281699397761155
Д\286\012273876,0,0.0362066751820706
Д\286\012288632,0,0.01645569334267303
Д\286\011592446,0,0.0036685074713557926
Д\286\011591102,0,0.005033388872401939
Д\286\011593051,0,0.04484472077648869
Д\286\011596102,0,0.009009295890130714
Д\286\012161025,0,0.04757158236437203
Д\286\012163959,0,0.09760938653121903
Д\286\012165276,0,0.0365004559084975
Д\286\012171602,0,0.012777678546274955
Д\286\012176165,0,0.011277427434363413
Д\286\012179884,0,0.030363424654200052
Д\286\012180528,0,0.2895082412667035
Д\286\012164087,0,0.14293090065936262
Д\286\012180741,0,0.018499908196986718
Д\286\012186794,0,0.03241367092787501
Д\286\012205926,0,0.3330815367886629
Д\286\012228795,0,0.00981357199016502
Д\286\012245689,0,0.27493296624820746
Д\286\012249104,0,0.07621549288639873
Д\286\012252061,0,0.0184181844467798
Д\286\012251795,0,0.046474305605317026
Д\286\012255568,0,0.07299624278678198
Д\286\012258324,0,0.054093371940267955
Д\286\012260834,0,0.017633532479391083
Д\286\012270049,0,0.11988094311579248
Д\286\012299308,0,0.033305658336686327
Д\286\011867804,0,0.31046467242326353
Д\286\012236751,0,0.020602041701908953
Д\286\012242373,0,0.017390038665337643
Д\286\012245292,0,0.2029037162830826
Д\286\012253237,0,0.035404819734328144
Д\286\012258970,0,0.11630932548561711
Д\286\012259728,0,0.008884642076468576
Д\286\012266355,0,0.025429593144697445
Д\286\012196274,0,0.023098205325205668
Д\286\012184635,0,0.03549517681290542
Д\286\012220302,0,0.09801232024699723
Д\286\012243482,0,0.030001742796078305
Д\286\012295350,0,0.22956691423751188
Д\286\012159287,0,0.017625643825892354
Д\286\011865949,0,0.04961617562451297
Д\286\012147799,0,0.009201837566138576
Д\286\011870220,0,0.009156341502520484
Д\286\012218520,0,0.06635002819733055
Д\286\012269162,0,0.11293878950818954
Д\286\012203193,0,0.010670175831911545
Д\286\012229377,1,0.51288890584546
Д\286\012301506,1,0.7482042281432651
Д\286\012156921,0,0.015289474741108415
Д\286\012265177,0,0.18398884178507044
Д\286\012158724,0,0.26548668229918077
Д\286\012245232,0,0.012318487942758369
Д\286\012166327,0,0.18768594286044255
Д\286\012196470,0,0.013470771690337766
Д\286\012211560,0,0.13957179508047546
Д\286\012217735,0,0.05646399386393381
Д\286\012220365,0,0.023087594988809974
Д\286\012234450,0,0.1265257564109562
Д\286\012243014,0,0.015138096236786965
Д\286\012261533,0,0.040785549494290474
Д\286\012218756,0,0.01392559515141555
Д\286\012146675,0,0.14324854610620638
Д\286\012180201,0,0.028240534621065662
Д\286\012207498,0,0.22578102259560068
Д\286\012238375,0,0.02236648870188086
Д\286\012295121,0,0.03112015291929746
Д\286\011593568,0,0.13099355640523233
Д\286\012217060,0,0.1292689985464543
Д\286\012268639,0,0.013925028255426778
Д\286\011591992,0,0.005518937765428764
Д\286\012167149,0,0.01653368540744749
Д\286\012180062,0,0.02749909340702013
Д\286\012208578,0,0.016729748535735802
Д\286\012264284,0,0.02625061944462538
Д\286\012144315,0,0.22238454640983604
Д\286\012146841,0,0.009868099762749315
Д\286\012156326,0,0.02424498932546011
Д\286\012158173,0,0.17236880395711585
Д\286\012160746,0,0.01297823259476509
Д\286\012160897,0,0.3670008312987268
Д\286\012163094,0,0.018409142501784662
Д\286\012173754,0,0.018590039768448616
Д\286\012218869,1,0.5519225523204775
Д\286\012224896,0,0.01139568725577181
Д\286\012235237,0,0.09611682003193689
Д\286\012238626,0,0.05454815970703372
Д\286\012235569,0,0.04499368139410121
Д\286\012247613,0,0.014304501408156717
Д\286\012248316,0,0.030878721682745577
Д\286\012245224,0,0.30751110526047815
Д\286\012258680,0,0.06184366733062033
Д\286\012304376,0,0.27303042441184916
Д\286\012180578,0,0.012832435030505225
Д\286\011591697,0,0.005896509502053155
Д\286\011873213,0,0.013118847718531858
Д\286\012203519,0,0.2195827071752466
Д\286\012203562,0,0.09743919941213672
Д\286\012209047,0,0.020935496707575166
Д\286\012212811,0,0.08670343089332729
Д\286\012219113,0,0.03457198937050573
Д\286\012223189,1,0.5991770312886643
Д\286\012238920,0,0.23000997144928148
Д\286\012237335,0,0.3279144999199723
Д\286\012261997,0,0.20594782878713036
Д\286\012278921,0,0.01752890923920799
Д\286\012212376,0,0.011920934916495318
Д\286\012185276,0,0.030123300861720773
Д\286\012207469,0,0.15593259444235347
Д\286\012256703,0,0.02292525363692665
Д\286\012273066,0,0.016146017734278654
Д\286\012305100,0,0.025920625862265238
Д\286\012189673,0,0.04026631283537101
Д\286\012293671,0,0.13149598861083564
Д\286\012176949,0,0.02070967378076809
Д\286\012232260,0,0.01603484452011525
Д\286\012263584,1,0.5740773307809592
Д\286\012295507,0,0.013959147328419012
Д\286\011869198,0,0.13350784278301703
Д\286\012288113,0,0.03791797842513786
Д\286\012185458,0,0.04581698256881714
Д\286\012162289,0,0.02356165168631174
Д\286\012224598,0,0.09879690126822586
Д\286\012143252,0,0.02146982776864843
Д\286\012151904,0,0.05161201709139511
Д\286\012159122,1,0.5080594586091995
Д\286\012286663,0,0.20731327333997646
Д\286\012183288,0,0.0221747815517226
Д\286\012230446,0,0.07649052817252795
Д\286\012274015,0,0.02885115314622137
Д\286\012177938,0,0.09590817997923161
Д\286\011872935,0,0.005022341653634961
Д\286\012158001,0,0.021688143164997616
Д\286\012223473,0,0.09354125474786132
Д\286\011597120,0,0.003797061147787945
Д\286\012281247,1,0.6305244354690572
Д\286\011869813,0,0.0923739492512334
Д\286\012144234,0,0.005859819954742485
Д\286\012153646,0,0.2667816595899535
Д\286\012196964,0,0.031405313137908314
Д\286\012219242,0,0.018920569160574587
Д\286\012216568,0,0.29945291619894976
Д\286\012226960,0,0.03727968636023653
